School Name,City,Type,Address,Website,Phone,Email,Description
"Concordia International School","Beijing","International School",,,,,
"Beijing Bacui Bilingual School","Beijing","Bilingual School",,,,,
"Dehong Chinese International Chinese School","Beijing","International School",,,,,
"Beijing Bayi School","Beijing","School",,,,,
"Beijing Beanstalk International Kindergarten","Beijing","International School",,,,,
"Jian Ping High School","Beijing","School",,,,,
"Gezhi High School","Beijing","School",,,,,
"Beijing Central Conservatory Preparatory School","Beijing","School",,,,,
"Beijing Changping Xinxuedao Linchuan International School","Beijing","International School",,,,,
"Hangzhou-Bay Bilingual School","Beijing","Bilingual School",,,,,
"Beijing Foreign Language School","Beijing","School",,,,,
"Hong Qiao International School","Beijing","International School",,,,,
"Huili School","Beijing","School",,,,,
"Jincai High School","Beijing","School",,,,,
"Living Word Shanghai Bilingual School","Beijing","Bilingual School",,,,,
"Beijing Jianhua Experimental School","Beijing","School",,,,,
"Maple Leaf International School","Beijing","International School",,,,,
"North America International School","Beijing","International School",,,,,
"Beijing Newbridge Foreign Language High School","Beijing","School",,,,,
"North Cross School","Beijing","School",,,,,
"Shanghai American Lee Academy International School","Beijing","International School",,,,,
"Shanghai American School","Beijing","School",,,,,
"Beijing Saint Paul American School","Beijing","School",,,,,
"Shanghai Australian International School","Beijing","International School",,,,,
"Beijing Shida High School","Beijing","School",,,,,
"Shanghai Community International School","Beijing","International School",,,,,
"Beijing Sino-bridge Foreign Language School","Beijing","School",,,,,
"Shanghai Concord Bilingual School","Beijing","Bilingual School",,,,,
"Beijing Zhongde School","Beijing","School",,,,,
"Shanghai Datong High School","Beijing","School",,,,,
"Beijing Zhongguancun Foreign Language School","Beijing","School",,,,,
"Shanghai DTD High School","Beijing","School",,,,,
"BFSU Foreign Languages School","Beijing","School",,,,,
"Shanghai EtonHouse International School","Beijing","International School",,,,,
"Shanghai Experimental School","Beijing","School",,,,,
"Shanghai Foreign Language School","Beijing","School",,,,,
"Camford Royal School","Beijing","School",,,,,
"Shanghai Fudan-Vanke Experimental Private School","Beijing","Private School",,,,,
"Shanghai Fushan Zhengda Foreign Language Primary School","Beijing","School",,,,,
"Collegiate Academy International School","Beijing","International School",,,,,
"Shanghai Gold Apple Bilingual School","Beijing","Bilingual School",,,,,
"Shanghai Guanghua Cambridge International School","Beijing","International School",,,,,
"Shanghai High School","Beijing","School",,,,,
"Shanghai Hongrun Boyuan School","Beijing","School",,,,,
"Dewey International School","Beijing","International School",,,,,
"Shanghai Honor School","Beijing","School",,,,,
"Shanghai International Studies University Bilingual School","Beijing","International School",,,,,
"Educhina International School","Beijing","International School",,,,,
"ESS International High School","Beijing","International School",,,,,
"Pudong Foreign Language School","Beijing","School",,,,,
"Fangcaodi International School","Beijing","International School",,,,,
"Shanghai Ivy School","Beijing","School",,,,,
"Shanghai Jinhua School","Beijing","School",,,,,
"Shanghai Jinshan World Foreign Language School","Beijing","School",,,,,
"Shanghai Livingston American School","Beijing","School",,,,,
"Shanghai Luwan Senior High School","Beijing","School",,,,,
"Shanghai Mount Olive International School","Beijing","International School",,,,,
"Shanghai New Epoch Bilingual School","Beijing","Bilingual School",,,,,
"Shanghai New Hongqiao High School","Beijing","School",,,,,
"Shanghai New Qinghua Pacican International School","Beijing","International School",,,,,
"Kingswood International School","Beijing","International School",,,,,
"Shanghai Nord Anglia Chinese International School","Beijing","International School",,,,,
"Shanghai Oriental Ladder Bilingual School","Beijing","Bilingual School",,,,,
"Liuli International School","Beijing","International School",,,,,
"Shanghai Paddington Bilingual School","Beijing","Bilingual School",,,,,
"Livermore International School","Beijing","International School",,,,,
"Shanghai Pinghe Bilingual School","Beijing","Bilingual School",,,,,
"Shanghai Qibao Dwight High School","Beijing","School",,,,,
"Shanghai Qingpu World Foreign Language School","Beijing","School",,,,,
"Shanghai Shixi High School","Beijing","School",,,,,
"Shanghai Singapore International School","Beijing","International School",,,,,
"Shanghai SMIC Private School","Beijing","Private School",,,,,
"Olive International School","Beijing","International School",,,,,
"Shanghai Soong Ching Ling School","Beijing","School",,,,,
"RDFZ Chaoyang Branch School","Beijing","School",,,,,
"Shanghai Tianjiabing High School","Beijing","School",,,,,
"RDFZ Xishan School","Beijing","School",,,,,
"Shanghai Tongzhou Model School","Beijing","School",,,,,
"Shuren Ribet Private School","Beijing","Private School",,,,,
"Shanghai Victoria Kindergarten","Beijing","Kindergarten",,,,,
"Shanghai Wenlai International School","Beijing","International School",,,,,
"Shanghai World Foreign Language Middle School","Beijing","School",,,,,
"Shanghai World Foreign Language Primary School","Beijing","School",,,,,
"Shanghai Yangjing High School","Beijing","School",,,,,
"Steam International School","Beijing","International School",,,,,
"Stuyvesant International High School","Beijing","International School",,,,,
"Yang Guang Qing International School","Beijing","International School",,,,,
"Yew Wah International Edcuation School","Beijing","International School",,,,,
"Vanke Bilingual School","Beijing","Bilingual School",,,,,
"Vanke School","Beijing","School",,,,,
"Weiyu High School","Beijing","School",,,,,
"Zhangjiang International School","Beijing","International School",,,,,
"Futian International & Fine Arts School","Beijing","International School",,,,,
"Fuyuan British American School","Beijing","School",,,,,
"Guangdong Overseas Chinese High School","Beijing","School",,,,,
"Guangzhou Foreign Language School","Beijing","School",,,,,
"RDF International School","Beijing","International School",,,,,
"Guangzhou Yinghao School","Beijing","School",,,,,
"Weiming School","Beijing","School",,,,,
"Phoenix City International School","Beijing","International School",,,,,
"Bao An Shen Zhen Fanshen Experimental School","Beijing","School",,,,,
"Foreign Language School","Beijing","School",,,,,
"BASIS International School","Beijing","International School",,,,,
"Zhixin High School","Beijing","School",,,,,
"Bromsgrove School","Beijing","School",,,,,
"Buena Vista Concordia International School","Beijing","International School",,,,,
"American International School","Beijing","International School",,,,,
"China America International School","Beijing","International School",,,,,
"Britannia International School","Beijing","International School",,,,,
"Clifford School","Beijing","School",,,,,
"Korean International School","Beijing","International School",,,,,
"Guangdong Experimental Middle School","Beijing","School",,,,,
"Guangdong Experimental Yuexiu School","Beijing","School",,,,,
"Merchiston International School","Beijing","International School",,,,,
"Guangdong Guangya High School","Beijing","School",,,,,
"Nanshan Chinese International School","Beijing","International School",,,,,
"Guangdong Zhongyuan High School","Beijing","School",,,,,
"Oxstand International School","Beijing","International School",,,,,
"Guangwai Zengcheng Experimental School","Beijing","School",,,,,
"Princeton International Forest Kindergarten","Beijing","International School",,,,,
"Guangzhou Dongpu Middle School","Beijing","School",,,,,
"Princeton Sky Lake International School","Beijing","International School",,,,,
"Guangzhou Fok Ying Tung High School","Beijing","School",,,,,
"Shekou International School","Beijing","International School",,,,,
"Guangzhou Haizhu Foreign Language School","Beijing","School",,,,,
"Shen Wai International School","Beijing","International School",,,,,
"Guangzhou High School","Beijing","School",,,,,
"Shenwai Longgang International School","Beijing","International School",,,,,
"Guangzhou International Middle School","Beijing","International School",,,,,
"Guangzhou International Primary School","Beijing","International School",,,,,
"Shenzhen American International School","Beijing","International School",,,,,
"Shenzhen Arcadia Grammar School","Beijing","School",,,,,
"Guangzhou Japanese School","Beijing","School",,,,,
"Shenzhen Chinaus School","Beijing","School",,,,,
"Guangzhou Middle School","Beijing","School",,,,,
"Guangzhou Nanfang International School","Beijing","International School",,,,,
"Shenzhen Cuiyuan Middle School","Beijing","School",,,,,
"Guangzhou Nanwu Middle School","Beijing","School",,,,,
"Shenzhen Dalton Xinhua School","Beijing","School",,,,,
"Shenzhen Elite Experimental Secondary School","Beijing","School",,,,,
"Middle School Canadian International School","Beijing","International School",,,,,
"Shenzhen Experimental Chenghan  School","Beijing","School",,,,,
"Shenzhen Foreign Languages School","Beijing","School",,,,,
"Shenzhen Fujing Foreign Language School","Beijing","School",,,,,
"Shenzhen Futian Foreign Languages High School","Beijing","School",,,,,
"Guangzhou Tianhe Foreign Language School","Beijing","School",,,,,
"Shenzhen Grandale International School","Beijing","International School",,,,,
"Guangzhou Xiangjiang High School","Beijing","School",,,,,
"GuangZhou XiGuan Foreign Language School","Beijing","School",,,,,
"Shenzhen Huangyuyuan School","Beijing","School",,,,,
"Huamei International School","Beijing","International School",,,,,
"Huanan Country Garten School","Beijing","School",,,,,
"Huanggang High School","Beijing","School",,,,,
"Shenzhen Luohu Foreign Language School","Beijing","School",,,,,
"Huanggang Middle School--Guangzhou School","Beijing","School",,,,,
"Shenzhen Merchiston International School","Beijing","International School",,,,,
"International Department of Guangzhou Tieyi Middle School","Beijing","International School",,,,,
"Shenzhen Middle School","Beijing","School",,,,,
"ISA International School","Beijing","International School",,,,,
"Shenzhen Mingde Experimental School","Beijing","School",,,,,
"ISA Science City International School","Beijing","International School",,,,,
"Shenzhen Penghhui Chinese & English School","Beijing","School",,,,,
"Shenzhen Sandy Quan Foreign Language School","Beijing","School",,,,,
"Shenzhen Senior High School","Beijing","School",,,,,
"Shenzhen Shiyan Public School","Beijing","School",,,,,
"Panyu Foreign Language School","Beijing","School",,,,,
"Shenzhen Yaohua Experimental School","Beijing","School",,,,,
"Peking Univerity Experimental School","Beijing","School",,,,,
"Shenzhen Yinhu Foreign Language Experimental School","Beijing","School",,,,,
"Shrewsbury School","Beijing","School",,,,,
"ShenZhen YongYuan Experimental School","Beijing","School",,,,,
"Paul International School","Beijing","International School",,,,,
"Shenzhen Yunding School","Beijing","School",,,,,
"Shenzhen Zhanhua Experimental School","Beijing","School",,,,,
"Songgang Chinese & English Experimental School","Beijing","School",,,,,
"Tianjiao Bilingual School","Beijing","Bilingual School",,,,,
"Utahloy International School","Beijing","International School",,,,,
"Win-Win Bilingual School","Beijing","Bilingual School",,,,,
"Xiehe Middle School","Beijing","School",,,,,
"Three Senior High School","Beijing","School",,,,,
"Zengcheng Country Garden School","Beijing","School",,,,,
"Whittle School","Beijing","School",,,,,
"Achieve Xiamen International School","Beijing","International School",,"https://www.searchassociates.com/schools/china/achieve-xiamen-international-school-2/",,,
"Affiliated School","Beijing","School",,"https://www.searchassociates.com/schools/china/affiliated-high-school-of-peking-university/",,,
"BASIS Bilingual Kindergarten","Beijing","Bilingual School",,"https://www.searchassociates.com/schools/china/avenues-shenzhen/",,,
"BASIS Bilingual School","Beijing","Bilingual School",,"https://www.searchassociates.com/schools/china/basis-bilingual-kindergarten-nanshan/",,,
"Benenden Bilingual School","Beijing","Bilingual School",,"https://www.searchassociates.com/schools/china/beijing-world-youth-academy/",,,
"Changchun American International School","Beijing","International School",,"https://www.searchassociates.com/schools/china/canadian-international-school-of-hefei/",,,
"Concordia School","Beijing","School",,"https://www.searchassociates.com/schools/china/concordia-international-school-shanghai/",,,
"Dehong Shanghai International Chinese School","Beijing","International School",,"https://www.searchassociates.com/schools/china/dehong-beijing-international-chinese-school/",,,
"Dulwich International High School","Beijing","International School",,"https://www.searchassociates.com/schools/china/dulwich-college-suzhou/",,,
"Georgia School","Beijing","School",,"https://www.searchassociates.com/schools/china/dulwich-international-high-school-programme-suzhou/",,,
"Guangzhou SCA School","Beijing","School",,"https://www.searchassociates.com/schools/china/guangzhou-international-primary-school-baiyun-zwie/",,,
"Guangzhou Ulink International School","Beijing","International School",,"https://www.searchassociates.com/schools/china/guangzhou-sca-school/",,,
"Hangzhou International School","Beijing","International School",,"https://www.searchassociates.com/schools/china/guangzhou-ulink-international-school-2/",,,
"Hangzhou Yungu School","Beijing","School",,"https://www.searchassociates.com/schools/china/hangzhou-international-school/",,,
"HDBJ School","Beijing","School",,"https://www.searchassociates.com/schools/china/harrow-international-school-qianhai-shenzhen/",,,
"HD Ningbo School","Beijing","School",,"https://www.searchassociates.com/schools/china/hd-beijing-school-hurtwood-house-china/",,,
"HD Qingdao School","Beijing","School",,"https://www.searchassociates.com/schools/china/hd-ningbo-school-hurtwood-house-china/",,,
"HD Shanghai Bilingual School","Beijing","Bilingual School",,"https://www.searchassociates.com/schools/china/hd-qingdao-school/",,,
"Hongwen School","Beijing","School",,"https://www.searchassociates.com/schools/china/hiba-academy-nantong/",,,
"ISA Liwan International School","Beijing","International School",,"https://www.searchassociates.com/schools/china/isa-international-education-group/",,,
"ISA Tianhe International School","Beijing","International School",,"https://www.searchassociates.com/schools/china/isa-science-city-international-school/",,,
"ISA Wuhan International School","Beijing","International School",,"https://www.searchassociates.com/schools/china/isa-tianhe-international-school-of-guangzhou/",,,
"Kunshan Kang Chiao School","Beijing","School",,"https://www.searchassociates.com/schools/china/keystone-academy/",,,
"Lady Eleanor Holles International School","Beijing","International School",,"https://www.searchassociates.com/schools/china/kunshan-kang-chiao-school/",,,
"Nanjing International School","Beijing","International School",,"https://www.searchassociates.com/schools/china/malvern-college-qingdao/",,,
"Qingdao Amerasia International School","Beijing","International School",,"https://www.searchassociates.com/schools/china/overseas-chinese-academy-of-concord-suzhou/",,,
"Qingdao Baishan School","Beijing","School",,"https://www.searchassociates.com/schools/china/qingdao-amerasia-international-school/",,,
"Shanghai Little Bridge School","Beijing","School",,"https://www.searchassociates.com/schools/china/shanghai-hongrun-boyuan-school/",,,
"Private Primary School","Beijing","Private School",,"https://www.searchassociates.com/schools/china/shanghai-hongrun-boyuan-school/",,,
"Shanghai Vanke Bilingual School","Beijing","Bilingual School",,"https://www.searchassociates.com/schools/china/shanghai-united-international-school-wuxi-campus/",,,
"Shenzhen Mingwan School","Beijing","School",,"https://www.searchassociates.com/schools/china/shenzhen-international-foundation-college-2/",,,
